no,target,t,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
3,7,2,2.360978697372162,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,,,178.819,1919.4709999999998,,235.223,222.89299999999997,,,0.5,0.5,6.75,21475.354999065392,1.0
3,7,3,2.4313997200818225,1167.4969999999996,8988.753,910.479,52.331,,,97.49799999999999,4592.058999999999,,,33.365,,,-0.2,0.6,6.6,16423.801000356674,
4,6,0,1.8950653467743512,866.9559999999996,9270.628999999999,976.971,34.106,,3.01,66.55799999999999,3223.6259999999993,419.805,,178.732,,10.0,0.8,0.0,6.0,15047.351000547404,
4,6,1,2.360978697372162,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,,,178.819,1919.4709999999998,,235.223,222.89299999999997,,,0.5,0.5,6.75,21475.354999065392,1.0
4,6,2,2.4313997200818225,1167.4969999999996,8988.753,910.479,52.331,,,97.49799999999999,4592.058999999999,,,33.365,,,-0.2,0.6,6.6,16423.801000356674,
4,6,3,3.509234101320145,1229.327,6936.512000000001,639.3389999999999,42.218999999999994,,182.451,58.532000000000004,935.381,47.314,,179.02899999999997,,2.0,0.2,0.8,7.0,17442.14999938011,1.0
5,8,0,2.360978697372162,1032.7680000000003,10276.750999999998,68.206,43.053999999999995,,,178.819,1919.4709999999998,,235.223,222.89299999999997,,,0.5,0.5,6.75,21475.354999065392,1.0
5,8,1,2.4313997200818225,1167.4969999999996,8988.753,910.479,52.331,,,97.49799999999999,4592.058999999999,,,33.365,,,-0.2,0.6,6.6,16423.801000356674,
5,8,2,3.509234101320145,1229.327,6936.512000000001,639.3389999999999,42.218999999999994,,182.451,58.532000000000004,935.381,47.314,,179.02899999999997,,2.0,0.2,0.8,7.0,17442.14999938011,1.0
5,8,3,2.2967525192908838,10062.595000000003,866.833,1005.403,89.16600000000001,233.036,,225.951,512.741,1133.009,,301.717,,5.0,-0.6,0.6,6.4,4923.48899960518,
6,8,0,2.4313997200818225,1167.4969999999996,8988.753,910.479,52.331,,,97.49799999999999,4592.058999999999,,,33.365,,,-0.2,0.6,6.6,16423.801000356674,
6,8,1,3.509234101320145,1229.327,6936.512000000001,639.3389999999999,42.218999999999994,,182.451,58.532000000000004,935.381,47.314,,179.02899999999997,,2.0,0.2,0.8,7.0,17442.14999938011,1.0
6,8,2,2.2967525192908838,10062.595000000003,866.833,1005.403,89.16600000000001,233.036,,225.951,512.741,1133.009,,301.717,,5.0,-0.6,0.6,6.4,4923.48899960518,
6,8,3,1.6368674424448715,1952.6299999999999,2720.692,1627.429,,,,169.594,472.88800000000003,52.435,,600.6370000000001,,4.0,0.2,1.0,8.0,8322.6219997406,1.0
7,7,0,3.509234101320145,1229.327,6936.512000000001,639.3389999999999,42.218999999999994,,182.451,58.532000000000004,935.381,47.314,,179.02899999999997,,2.0,0.2,0.8,7.0,17442.14999938011,1.0
7,7,1,2.2967525192908838,10062.595000000003,866.833,1005.403,89.16600000000001,233.036,,225.951,512.741,1133.009,,301.717,,5.0,-0.6,0.6,6.4,4923.48899960518,
7,7,2,1.6368674424448715,1952.6299999999999,2720.692,1627.429,,,,169.594,472.88800000000003,52.435,,600.6370000000001,,4.0,0.2,1.0,8.0,8322.6219997406,1.0
7,7,3,0.6873015873015881,414.365,1298.505,1535.6770000000001,,,,74.003,167.685,,66.477,38.296,,,-0.5,0.75,7.5,4523.2140009403265,
8,6,0,2.2967525192908838,10062.595000000003,866.833,1005.403,89.16600000000001,233.036,,225.951,512.741,1133.009,,301.717,,5.0,-0.6,0.6,6.4,4923.48899960518,
8,6,1,1.6368674424448715,1952.6299999999999,2720.692,1627.429,,,,169.594,472.88800000000003,52.435,,600.6370000000001,,4.0,0.2,1.0,8.0,8322.6219997406,1.0
8,6,2,0.6873015873015881,414.365,1298.505,1535.6770000000001,,,,74.003,167.685,,66.477,38.296,,,-0.5,0.75,7.5,4523.2140009403265,
8,6,3,1.6921315412013493,2961.405,5332.637,1758.9199999999998,41.255,51.176,,268.554,1350.6549999999997,183.381,29.29,210.305,,6.0,0.0,0.6,7.4,11836.83400034904,
9,6,0,1.6368674424448715,1952.6299999999999,2720.692,1627.429,,,,169.594,472.88800000000003,52.435,,600.6370000000001,,4.0,0.2,1.0,8.0,8322.6219997406,1.0
9,6,1,0.6873015873015881,414.365,1298.505,1535.6770000000001,,,,74.003,167.685,,66.477,38.296,,,-0.5,0.75,7.5,4523.2140009403265,
9,6,2,1.6921315412013493,2961.405,5332.637,1758.9199999999998,41.255,51.176,,268.554,1350.6549999999997,183.381,29.29,210.305,,6.0,0.0,0.6,7.4,11836.83400034904,
9,6,3,2.8426378251056637,1385.5170000000003,6095.526000000001,1030.637,547.826,234.741,92.388,121.19000000000001,5040.067000000002,1614.621,,517.636,,1.0,0.2,0.0,6.0,17173.906002044678,
10,6,0,0.6873015873015881,414.365,1298.505,1535.6770000000001,,,,74.003,167.685,,66.477,38.296,,,-0.5,0.75,7.5,4523.2140009403265,
10,6,1,1.6921315412013493,2961.405,5332.637,1758.9199999999998,41.255,51.176,,268.554,1350.6549999999997,183.381,29.29,210.305,,6.0,0.0,0.6,7.4,11836.83400034904,
10,6,2,2.8426378251056637,1385.5170000000003,6095.526000000001,1030.637,547.826,234.741,92.388,121.19000000000001,5040.067000000002,1614.621,,517.636,,1.0,0.2,0.0,6.0,17173.906002044678,
10,6,3,2.445998655317363,3614.349,6920.155999999999,1343.376,247.777,,90.481,541.541,3428.7920000000004,,,341.371,,4.0,0.3333333333333333,0.6666666666666666,6.5,21358.510999917988,
11,6,0,1.6921315412013493,2961.405,5332.637,1758.9199999999998,41.255,51.176,,268.554,1350.6549999999997,183.381,29.29,210.305,,6.0,0.0,0.6,7.4,11836.83400034904,
11,6,1,2.8426378251056637,1385.5170000000003,6095.526000000001,1030.637,547.826,234.741,92.388,121.19000000000001,5040.067000000002,1614.621,,517.636,,1.0,0.2,0.0,6.0,17173.906002044678,
11,6,2,2.445998655317363,3614.349,6920.155999999999,1343.376,247.777,,90.481,541.541,3428.7920000000004,,,341.371,,4.0,0.3333333333333333,0.6666666666666666,6.5,21358.510999917988,
11,6,3,1.181723345002586,2321.4640000000018,14438.081999999997,1293.631,76.234,,,213.90199999999996,3154.241000000001,19.082,,182.77200000000002,,4.0,-1.2,0.0,6.4,21401.835000753403,
12,7,0,2.8426378251056637,1385.5170000000003,6095.526000000001,1030.637,547.826,234.741,92.388,121.19000000000001,5040.067000000002,1614.621,,517.636,,1.0,0.2,0.0,6.0,17173.906002044678,
12,7,1,2.445998655317363,3614.349,6920.155999999999,1343.376,247.777,,90.481,541.541,3428.7920000000004,,,341.371,,4.0,0.3333333333333333,0.6666666666666666,6.5,21358.510999917988,
12,7,2,1.181723345002586,2321.4640000000018,14438.081999999997,1293.631,76.234,,,213.90199999999996,3154.241000000001,19.082,,182.77200000000002,,4.0,-1.2,0.0,6.4,21401.835000753403,
12,7,3,3.0405434689758195,1957.8289999999997,5481.628,1545.227,,,,176.80100000000002,2086.197,158.24099999999999,,128.692,,2.0,0.2,0.4,6.2,12379.411000013355,1.0
13,6,0,2.445998655317363,3614.349,6920.155999999999,1343.376,247.777,,90.481,541.541,3428.7920000000004,,,341.371,,4.0,0.3333333333333333,0.6666666666666666,6.5,21358.510999917988,
13,6,1,1.181723345002586,2321.4640000000018,14438.081999999997,1293.631,76.234,,,213.90199999999996,3154.241000000001,19.082,,182.77200000000002,,4.0,-1.2,0.0,6.4,21401.835000753403,
13,6,2,3.0405434689758195,1957.8289999999997,5481.628,1545.227,,,,176.80100000000002,2086.197,158.24099999999999,,128.692,,2.0,0.2,0.4,6.2,12379.411000013355,1.0
13,6,3,2.856055252882692,15159.189999999995,1885.4089999999999,76.369,,,,81.133,363.208,187.94500000000002,,118.956,,,-0.4,0.6,6.8,3340.4309999942784,
14,6,0,1.181723345002586,2321.4640000000018,14438.081999999997,1293.631,76.234,,,213.90199999999996,3154.241000000001,19.082,,182.77200000000002,,4.0,-1.2,0.0,6.4,21401.835000753403,
14,6,1,3.0405434689758195,1957.8289999999997,5481.628,1545.227,,,,176.80100000000002,2086.197,158.24099999999999,,128.692,,2.0,0.2,0.4,6.2,12379.411000013355,1.0
14,6,2,2.856055252882692,15159.189999999995,1885.4089999999999,76.369,,,,81.133,363.208,187.94500000000002,,118.956,,,-0.4,0.6,6.8,3340.4309999942784,
14,6,3,1.545787186619235,4548.662,3355.7430000000013,187.214,,114.406,,119.12,321.46,,,46.249,,4.0,-0.75,0.5,6.5,7467.3219997882825,
15,7,0,3.0405434689758195,1957.8289999999997,5481.628,1545.227,,,,176.80100000000002,2086.197,158.24099999999999,,128.692,,2.0,0.2,0.4,6.2,12379.411000013355,1.0
15,7,1,2.856055252882692,15159.189999999995,1885.4089999999999,76.369,,,,81.133,363.208,187.94500000000002,,118.956,,,-0.4,0.6,6.8,3340.4309999942784,
15,7,2,1.545787186619235,4548.662,3355.7430000000013,187.214,,114.406,,119.12,321.46,,,46.249,,4.0,-0.75,0.5,6.5,7467.3219997882825,
15,7,3,1.2160949081836292,927.3769999999998,7355.015000000001,447.12100000000004,46.128,,17.107,170.34799999999998,1475.418,60.247,,205.81100000000004,,1.0,-0.6666666666666666,0.25,6.5,9846.380999803543,
16,7,0,2.856055252882692,15159.189999999995,1885.4089999999999,76.369,,,,81.133,363.208,187.94500000000002,,118.956,,,-0.4,0.6,6.8,3340.4309999942784,
16,7,1,1.545787186619235,4548.662,3355.7430000000013,187.214,,114.406,,119.12,321.46,,,46.249,,4.0,-0.75,0.5,6.5,7467.3219997882825,
16,7,2,1.2160949081836292,927.3769999999998,7355.015000000001,447.12100000000004,46.128,,17.107,170.34799999999998,1475.418,60.247,,205.81100000000004,,1.0,-0.6666666666666666,0.25,6.5,9846.380999803543,
16,7,3,1.8078493982723634,892.6889999999997,9477.553000000002,3466.4789999999994,19.131,,,209.51399999999995,2655.121,,,36.143,,1.0,-0.4,0.3333333333333333,6.6,15101.13200187683,
17,7,0,1.545787186619235,4548.662,3355.7430000000013,187.214,,114.406,,119.12,321.46,,,46.249,,4.0,-0.75,0.5,6.5,7467.3219997882825,
17,7,1,1.2160949081836292,927.3769999999998,7355.015000000001,447.12100000000004,46.128,,17.107,170.34799999999998,1475.418,60.247,,205.81100000000004,,1.0,-0.6666666666666666,0.25,6.5,9846.380999803543,
17,7,2,1.8078493982723634,892.6889999999997,9477.553000000002,3466.4789999999994,19.131,,,209.51399999999995,2655.121,,,36.143,,1.0,-0.4,0.3333333333333333,6.6,15101.13200187683,
17,7,3,2.88921874877589,1638.6170000000004,6177.075999999999,940.7699999999999,,,,346.654,2826.3500000000004,,,577.359,,4.0,-0.8,1.0,7.4,13558.289000988008,
18,7,0,1.2160949081836292,927.3769999999998,7355.015000000001,447.12100000000004,46.128,,17.107,170.34799999999998,1475.418,60.247,,205.81100000000004,,1.0,-0.6666666666666666,0.25,6.5,9846.380999803543,
18,7,1,1.8078493982723634,892.6889999999997,9477.553000000002,3466.4789999999994,19.131,,,209.51399999999995,2655.121,,,36.143,,1.0,-0.4,0.3333333333333333,6.6,15101.13200187683,
18,7,2,2.88921874877589,1638.6170000000004,6177.075999999999,940.7699999999999,,,,346.654,2826.3500000000004,,,577.359,,4.0,-0.8,1.0,7.4,13558.289000988008,
18,7,3,1.8951145246773857,715.3549999999997,4881.411,1858.8930000000003,,1.059,23.195,107.91900000000001,1174.7170000000003,,,377.687,,7.0,-0.4,0.8,7.4,9296.098999261858,
19,7,0,1.8078493982723634,892.6889999999997,9477.553000000002,3466.4789999999994,19.131,,,209.51399999999995,2655.121,,,36.143,,1.0,-0.4,0.3333333333333333,6.6,15101.13200187683,
19,7,1,2.88921874877589,1638.6170000000004,6177.075999999999,940.7699999999999,,,,346.654,2826.3500000000004,,,577.359,,4.0,-0.8,1.0,7.4,13558.289000988008,
19,7,2,1.8951145246773857,715.3549999999997,4881.411,1858.8930000000003,,1.059,23.195,107.91900000000001,1174.7170000000003,,,377.687,,7.0,-0.4,0.8,7.4,9296.098999261858,
19,7,3,1.9196688497534522,3369.0309999999995,3336.5920000000015,1976.138,94.093,,,51.452,596.807,34.234,,214.648,,,-1.2,0.8,7.0,10526.846000194553,
20,8,0,2.88921874877589,1638.6170000000004,6177.075999999999,940.7699999999999,,,,346.654,2826.3500000000004,,,577.359,,4.0,-0.8,1.0,7.4,13558.289000988008,
20,8,1,1.8951145246773857,715.3549999999997,4881.411,1858.8930000000003,,1.059,23.195,107.91900000000001,1174.7170000000003,,,377.687,,7.0,-0.4,0.8,7.4,9296.098999261858,
20,8,2,1.9196688497534522,3369.0309999999995,3336.5920000000015,1976.138,94.093,,,51.452,596.807,34.234,,214.648,,,-1.2,0.8,7.0,10526.846000194553,
20,8,3,1.7339774752876362,302.44599999999986,6595.082999999998,2186.482,,,,79.033,264.432,5.031,,352.39199999999994,,,-0.75,0.75,7.25,11750.809000968926,
21,7,0,1.8951145246773857,715.3549999999997,4881.411,1858.8930000000003,,1.059,23.195,107.91900000000001,1174.7170000000003,,,377.687,,7.0,-0.4,0.8,7.4,9296.098999261858,
21,7,1,1.9196688497534522,3369.0309999999995,3336.5920000000015,1976.138,94.093,,,51.452,596.807,34.234,,214.648,,,-1.2,0.8,7.0,10526.846000194553,
21,7,2,1.7339774752876362,302.44599999999986,6595.082999999998,2186.482,,,,79.033,264.432,5.031,,352.39199999999994,,,-0.75,0.75,7.25,11750.809000968926,
21,7,3,0.33651189490489736,447.41499999999996,1096.7949999999996,249.392,82.413,,,94.20899999999999,34.501999999999995,,,,,,-1.25,1.0,8.0,2005.7509992122657,
22,6,0,1.9196688497534522,3369.0309999999995,3336.5920000000015,1976.138,94.093,,,51.452,596.807,34.234,,214.648,,,-1.2,0.8,7.0,10526.846000194553,
22,6,1,1.7339774752876362,302.44599999999986,6595.082999999998,2186.482,,,,79.033,264.432,5.031,,352.39199999999994,,,-0.75,0.75,7.25,11750.809000968926,
22,6,2,0.33651189490489736,447.41499999999996,1096.7949999999996,249.392,82.413,,,94.20899999999999,34.501999999999995,,,,,,-1.25,1.0,8.0,2005.7509992122657,
22,6,3,2.0132955472772207,961.5809999999999,6486.2840000000015,6265.556,89.32300000000001,,,145.09600000000003,2921.985,29.104,,986.014,,1.0,-1.2,0.6,7.2,17985.447999238968,1.0
23,7,0,1.7339774752876362,302.44599999999986,6595.082999999998,2186.482,,,,79.033,264.432,5.031,,352.39199999999994,,,-0.75,0.75,7.25,11750.809000968926,
23,7,1,0.33651189490489736,447.41499999999996,1096.7949999999996,249.392,82.413,,,94.20899999999999,34.501999999999995,,,,,,-1.25,1.0,8.0,2005.7509992122657,
23,7,2,2.0132955472772207,961.5809999999999,6486.2840000000015,6265.556,89.32300000000001,,,145.09600000000003,2921.985,29.104,,986.014,,1.0,-1.2,0.6,7.2,17985.447999238968,1.0
23,7,3,2.162691666737406,1596.3559999999995,6224.230999999999,944.5220000000002,13.043,,,110.415,4428.210000000001,8.363,,279.79299999999995,,8.0,0.0,0.8,6.4,13585.222998380666,1.0
24,7,0,0.33651189490489736,447.41499999999996,1096.7949999999996,249.392,82.413,,,94.20899999999999,34.501999999999995,,,,,,-1.25,1.0,8.0,2005.7509992122657,
24,7,1,2.0132955472772207,961.5809999999999,6486.2840000000015,6265.556,89.32300000000001,,,145.09600000000003,2921.985,29.104,,986.014,,1.0,-1.2,0.6,7.2,17985.447999238968,1.0
24,7,2,2.162691666737406,1596.3559999999995,6224.230999999999,944.5220000000002,13.043,,,110.415,4428.210000000001,8.363,,279.79299999999995,,8.0,0.0,0.8,6.4,13585.222998380666,1.0
24,7,3,2.786648067050933,923.613,5175.016,426.73400000000004,,,,40.784,1912.8519999999999,,,223.587,,,0.75,0.5,7.2,12522.47499895096,1.0
25,7,0,2.0132955472772207,961.5809999999999,6486.2840000000015,6265.556,89.32300000000001,,,145.09600000000003,2921.985,29.104,,986.014,,1.0,-1.2,0.6,7.2,17985.447999238968,1.0
25,7,1,2.162691666737406,1596.3559999999995,6224.230999999999,944.5220000000002,13.043,,,110.415,4428.210000000001,8.363,,279.79299999999995,,8.0,0.0,0.8,6.4,13585.222998380666,1.0
25,7,2,2.786648067050933,923.613,5175.016,426.73400000000004,,,,40.784,1912.8519999999999,,,223.587,,,0.75,0.5,7.2,12522.47499895096,1.0
25,7,3,1.3660285601303237,552.201,11853.338999999998,142.241,,,,53.763000000000005,2107.146,,,49.718,,2.0,-0.4,0.6,6.6,15018.480000734336,
26,8,0,2.162691666737406,1596.3559999999995,6224.230999999999,944.5220000000002,13.043,,,110.415,4428.210000000001,8.363,,279.79299999999995,,8.0,0.0,0.8,6.4,13585.222998380666,1.0
26,8,1,2.786648067050933,923.613,5175.016,426.73400000000004,,,,40.784,1912.8519999999999,,,223.587,,,0.75,0.5,7.2,12522.47499895096,1.0
26,8,2,1.3660285601303237,552.201,11853.338999999998,142.241,,,,53.763000000000005,2107.146,,,49.718,,2.0,-0.4,0.6,6.6,15018.480000734336,
26,8,3,2.256792160679426,1860.898,5341.656999999999,774.354,119.163,,,47.788999999999994,1993.922,63.873999999999995,,88.68,,1.0,-0.8,0.8,6.8,13490.728999614708,
27,7,0,2.786648067050933,923.613,5175.016,426.73400000000004,,,,40.784,1912.8519999999999,,,223.587,,,0.75,0.5,7.2,12522.47499895096,1.0
27,7,1,1.3660285601303237,552.201,11853.338999999998,142.241,,,,53.763000000000005,2107.146,,,49.718,,2.0,-0.4,0.6,6.6,15018.480000734336,
27,7,2,2.256792160679426,1860.898,5341.656999999999,774.354,119.163,,,47.788999999999994,1993.922,63.873999999999995,,88.68,,1.0,-0.8,0.8,6.8,13490.728999614708,
27,7,3,2.3863658813721664,946.1899999999997,2728.2599999999998,469.274,95.629,29.084,,31.482,396.672,128.89,,305.79600000000005,,1.0,-0.2,1.0,7.8,13293.2480006218,
28,8,0,1.3660285601303237,552.201,11853.338999999998,142.241,,,,53.763000000000005,2107.146,,,49.718,,2.0,-0.4,0.6,6.6,15018.480000734336,
28,8,1,2.256792160679426,1860.898,5341.656999999999,774.354,119.163,,,47.788999999999994,1993.922,63.873999999999995,,88.68,,1.0,-0.8,0.8,6.8,13490.728999614708,
28,8,2,2.3863658813721664,946.1899999999997,2728.2599999999998,469.274,95.629,29.084,,31.482,396.672,128.89,,305.79600000000005,,1.0,-0.2,1.0,7.8,13293.2480006218,
28,8,3,1.7207735899916674,897.0860000000001,4984.723999999999,727.492,10.606,,,34.202,2237.7419999999997,,,121.03500000000001,,2.0,-0.25,0.75,7.25,8343.518000364305,2.0
29,7,0,2.256792160679426,1860.898,5341.656999999999,774.354,119.163,,,47.788999999999994,1993.922,63.873999999999995,,88.68,,1.0,-0.8,0.8,6.8,13490.728999614708,
29,7,1,2.3863658813721664,946.1899999999997,2728.2599999999998,469.274,95.629,29.084,,31.482,396.672,128.89,,305.79600000000005,,1.0,-0.2,1.0,7.8,13293.2480006218,
29,7,2,1.7207735899916674,897.0860000000001,4984.723999999999,727.492,10.606,,,34.202,2237.7419999999997,,,121.03500000000001,,2.0,-0.25,0.75,7.25,8343.518000364305,2.0
29,7,3,2.448985415237932,3442.2319999999986,2004.3470000000004,74.88000000000001,33.266,,,58.04899999999999,428.97200000000004,68.278,,210.882,,2.0,-0.25,1.0,7.6,3832.9909992218018,
30,8,0,2.3863658813721664,946.1899999999997,2728.2599999999998,469.274,95.629,29.084,,31.482,396.672,128.89,,305.79600000000005,,1.0,-0.2,1.0,7.8,13293.2480006218,
30,8,1,1.7207735899916674,897.0860000000001,4984.723999999999,727.492,10.606,,,34.202,2237.7419999999997,,,121.03500000000001,,2.0,-0.25,0.75,7.25,8343.518000364305,2.0
30,8,2,2.448985415237932,3442.2319999999986,2004.3470000000004,74.88000000000001,33.266,,,58.04899999999999,428.97200000000004,68.278,,210.882,,2.0,-0.25,1.0,7.6,3832.9909992218018,
30,8,3,2.206309243735009,2212.9540000000015,11360.913000000008,1101.017,38.453,,,63.16,1422.5479999999998,,,423.215,,2.0,0.2,1.0,7.4,15490.269999265669,
31,8,0,1.7207735899916674,897.0860000000001,4984.723999999999,727.492,10.606,,,34.202,2237.7419999999997,,,121.03500000000001,,2.0,-0.25,0.75,7.25,8343.518000364305,2.0
31,8,1,2.448985415237932,3442.2319999999986,2004.3470000000004,74.88000000000001,33.266,,,58.04899999999999,428.97200000000004,68.278,,210.882,,2.0,-0.25,1.0,7.6,3832.9909992218018,
31,8,2,2.206309243735009,2212.9540000000015,11360.913000000008,1101.017,38.453,,,63.16,1422.5479999999998,,,423.215,,2.0,0.2,1.0,7.4,15490.269999265669,
31,8,3,1.1036565392103728,1130.8420000000003,8928.471999999996,347.4270000000001,18.051,,,42.398,526.598,,,246.944,,1.0,0.2,1.0,7.6,14535.339999437334,
32,7,0,2.448985415237932,3442.2319999999986,2004.3470000000004,74.88000000000001,33.266,,,58.04899999999999,428.97200000000004,68.278,,210.882,,2.0,-0.25,1.0,7.6,3832.9909992218018,
32,7,1,2.206309243735009,2212.9540000000015,11360.913000000008,1101.017,38.453,,,63.16,1422.5479999999998,,,423.215,,2.0,0.2,1.0,7.4,15490.269999265669,
32,7,2,1.1036565392103728,1130.8420000000003,8928.471999999996,347.4270000000001,18.051,,,42.398,526.598,,,246.944,,1.0,0.2,1.0,7.6,14535.339999437334,
32,7,3,1.221671716656823,1466.2709999999988,9692.133000000002,4464.974999999999,209.937,,,31.933,2688.536,51.184,,716.1970000000001,,1.0,-0.4,1.0,7.6,22086.478000164043,
33,8,0,2.206309243735009,2212.9540000000015,11360.913000000008,1101.017,38.453,,,63.16,1422.5479999999998,,,423.215,,2.0,0.2,1.0,7.4,15490.269999265669,
33,8,1,1.1036565392103728,1130.8420000000003,8928.471999999996,347.4270000000001,18.051,,,42.398,526.598,,,246.944,,1.0,0.2,1.0,7.6,14535.339999437334,
33,8,2,1.221671716656823,1466.2709999999988,9692.133000000002,4464.974999999999,209.937,,,31.933,2688.536,51.184,,716.1970000000001,,1.0,-0.4,1.0,7.6,22086.478000164043,
33,8,3,2.617465527283859,817.6129999999997,7279.144,650.8319999999999,21.070999999999998,,,68.847,2227.694,63.315999999999995,,347.974,,2.0,-0.2,0.8,7.2,13973.941999673843,1.0
34,8,0,1.1036565392103728,1130.8420000000003,8928.471999999996,347.4270000000001,18.051,,,42.398,526.598,,,246.944,,1.0,0.2,1.0,7.6,14535.339999437334,
34,8,1,1.221671716656823,1466.2709999999988,9692.133000000002,4464.974999999999,209.937,,,31.933,2688.536,51.184,,716.1970000000001,,1.0,-0.4,1.0,7.6,22086.478000164043,
34,8,2,2.617465527283859,817.6129999999997,7279.144,650.8319999999999,21.070999999999998,,,68.847,2227.694,63.315999999999995,,347.974,,2.0,-0.2,0.8,7.2,13973.941999673843,1.0
34,8,3,4.927721747357405,864.5189999999998,2567.8570000000004,125.556,27.266999999999996,,,46.205,2368.377,470.773,3.148,315.7629999999999,,3.0,-0.2,1.0,7.6,15482.018999338148,4.0
35,8,0,1.221671716656823,1466.2709999999988,9692.133000000002,4464.974999999999,209.937,,,31.933,2688.536,51.184,,716.1970000000001,,1.0,-0.4,1.0,7.6,22086.478000164043,
35,8,1,2.617465527283859,817.6129999999997,7279.144,650.8319999999999,21.070999999999998,,,68.847,2227.694,63.315999999999995,,347.974,,2.0,-0.2,0.8,7.2,13973.941999673843,1.0
35,8,2,4.927721747357405,864.5189999999998,2567.8570000000004,125.556,27.266999999999996,,,46.205,2368.377,470.773,3.148,315.7629999999999,,3.0,-0.2,1.0,7.6,15482.018999338148,4.0
35,8,3,0.6705363235772013,1291.3139999999996,2431.4979999999996,1510.221,,,,1056.684,27.47,,,60.337999999999994,,,0.0,1.0,7.5,5700.562000036243,
36,7,0,2.617465527283859,817.6129999999997,7279.144,650.8319999999999,21.070999999999998,,,68.847,2227.694,63.315999999999995,,347.974,,2.0,-0.2,0.8,7.2,13973.941999673843,1.0
36,7,1,4.927721747357405,864.5189999999998,2567.8570000000004,125.556,27.266999999999996,,,46.205,2368.377,470.773,3.148,315.7629999999999,,3.0,-0.2,1.0,7.6,15482.018999338148,4.0
36,7,2,0.6705363235772013,1291.3139999999996,2431.4979999999996,1510.221,,,,1056.684,27.47,,,60.337999999999994,,,0.0,1.0,7.5,5700.562000036243,
36,7,3,0.47220774092157364,1312.001,4697.372000000001,1548.4379999999999,465.253,,,72.584,2423.933,,,380.193,,2.0,-0.8,0.8,7.6,10807.829999685286,
37,8,0,4.927721747357405,864.5189999999998,2567.8570000000004,125.556,27.266999999999996,,,46.205,2368.377,470.773,3.148,315.7629999999999,,3.0,-0.2,1.0,7.6,15482.018999338148,4.0
37,8,1,0.6705363235772013,1291.3139999999996,2431.4979999999996,1510.221,,,,1056.684,27.47,,,60.337999999999994,,,0.0,1.0,7.5,5700.562000036243,
37,8,2,0.47220774092157364,1312.001,4697.372000000001,1548.4379999999999,465.253,,,72.584,2423.933,,,380.193,,2.0,-0.8,0.8,7.6,10807.829999685286,
37,8,3,2.4661979647081074,5289.913000000001,3834.644999999999,1562.5330000000004,,333.305,,40.471999999999994,411.485,41.982,,410.436,,,-0.25,1.0,7.0,7873.291999101639,
38,8,0,0.6705363235772013,1291.3139999999996,2431.4979999999996,1510.221,,,,1056.684,27.47,,,60.337999999999994,,,0.0,1.0,7.5,5700.562000036243,
38,8,1,0.47220774092157364,1312.001,4697.372000000001,1548.4379999999999,465.253,,,72.584,2423.933,,,380.193,,2.0,-0.8,0.8,7.6,10807.829999685286,
