no,target,t,activity,call,circumplex.arousal,circumplex.valence,frequency,mood,screen,sms,util_apps,com_other_apps,entertain_apps
6,8,1,0.1595106409690975,2.0,0.2,0.8,135.0,7.0,17442.14999938011,1.0,2615.721,6995.044000000001,639.3389999999999
6,8,2,0.0956980216371201,5.0,-0.6,0.6,88.0,6.4,4923.48899960518,0.0,12099.228000000005,1092.7839999999999,1238.439
6,8,3,0.0682028101018696,4.0,0.2,1.0,64.0,8.0,8322.6219997406,1.0,3078.59,2890.286,1627.429
7,7,0,0.1595106409690975,2.0,0.2,0.8,135.0,7.0,17442.14999938011,1.0,2615.721,6995.044000000001,639.3389999999999
7,7,1,0.0956980216371201,5.0,-0.6,0.6,88.0,6.4,4923.48899960518,0.0,12099.228000000005,1092.7839999999999,1238.439
7,7,2,0.0682028101018696,4.0,0.2,1.0,64.0,8.0,8322.6219997406,1.0,3078.59,2890.286,1627.429
7,7,3,0.049092970521542,0.0,-0.5,0.75,27.0,7.5,4523.214000940327,0.0,686.823,1372.508,1535.677
8,6,0,0.0956980216371201,5.0,-0.6,0.6,88.0,6.4,4923.48899960518,0.0,12099.228000000005,1092.7839999999999,1238.439
8,6,1,0.0682028101018696,4.0,0.2,1.0,64.0,8.0,8322.6219997406,1.0,3078.59,2890.286,1627.429
8,6,2,0.049092970521542,0.0,-0.5,0.75,27.0,7.5,4523.214000940327,0.0,686.823,1372.508,1535.677
8,6,3,0.0705054808833895,6.0,0.0,0.6,124.0,7.4,11836.83400034904,0.0,4776.291,5601.191,1810.0959999999998
9,6,0,0.0682028101018696,4.0,0.2,1.0,64.0,8.0,8322.6219997406,1.0,3078.59,2890.286,1627.429
9,6,1,0.049092970521542,0.0,-0.5,0.75,27.0,7.5,4523.214000940327,0.0,686.823,1372.508,1535.677
9,6,2,0.0705054808833895,6.0,0.0,0.6,124.0,7.4,11836.83400034904,0.0,4776.291,5601.191,1810.0959999999998
9,6,3,0.1184432427127359,1.0,0.2,0.0,190.0,6.0,17173.906002044678,0.0,9198.055000000002,6216.716,1265.378
10,6,0,0.049092970521542,0.0,-0.5,0.75,27.0,7.5,4523.214000940327,0.0,686.823,1372.508,1535.677
10,6,1,0.0705054808833895,6.0,0.0,0.6,124.0,7.4,11836.83400034904,0.0,4776.291,5601.191,1810.0959999999998
10,6,2,0.1184432427127359,1.0,0.2,0.0,190.0,6.0,17173.906002044678,0.0,9198.055000000002,6216.716,1265.378
10,6,3,0.1019166106382234,4.0,0.5,0.75,226.0,6.5,21358.510999917988,0.0,7722.77,7461.696999999999,1343.376
11,6,0,0.0705054808833895,6.0,0.0,0.6,124.0,7.4,11836.83400034904,0.0,4776.291,5601.191,1810.0959999999998
11,6,1,0.1184432427127359,1.0,0.2,0.0,190.0,6.0,17173.906002044678,0.0,9198.055000000002,6216.716,1265.378
11,6,2,0.1019166106382234,4.0,0.5,0.75,226.0,6.5,21358.510999917988,0.0,7722.77,7461.696999999999,1343.376
11,6,3,0.049238472708441,4.0,-1.2,0.0,268.0,6.4,21401.835000753403,0.0,5753.793000000002,14651.983999999997,1293.631
12,7,0,0.1184432427127359,1.0,0.2,0.0,190.0,6.0,17173.906002044678,0.0,9198.055000000002,6216.716,1265.378
12,7,1,0.1019166106382234,4.0,0.5,0.75,226.0,6.5,21358.510999917988,0.0,7722.77,7461.696999999999,1343.376
12,7,2,0.049238472708441,4.0,-1.2,0.0,268.0,6.4,21401.835000753403,0.0,5753.793000000002,14651.983999999997,1293.631
12,7,3,0.1266893112073258,2.0,0.2,0.4,154.0,6.2,12379.411000013357,1.0,4330.959,5658.429,1545.227
13,6,0,0.1019166106382234,4.0,0.5,0.75,226.0,6.5,21358.510999917988,0.0,7722.77,7461.696999999999,1343.376
13,6,1,0.049238472708441,4.0,-1.2,0.0,268.0,6.4,21401.835000753403,0.0,5753.793000000002,14651.983999999997,1293.631
13,6,2,0.1266893112073258,2.0,0.2,0.4,154.0,6.2,12379.411000013357,1.0,4330.959,5658.429,1545.227
13,6,3,0.1190023022034455,0.0,-0.4,0.6,63.0,6.8,3340.4309999942784,0.0,15829.298999999997,1966.5420000000001,76.369
14,6,0,0.049238472708441,4.0,-1.2,0.0,268.0,6.4,21401.835000753403,0.0,5753.793000000002,14651.983999999997,1293.631
14,6,1,0.1266893112073258,2.0,0.2,0.4,154.0,6.2,12379.411000013357,1.0,4330.959,5658.429,1545.227
14,6,2,0.1190023022034455,0.0,-0.4,0.6,63.0,6.8,3340.4309999942784,0.0,15829.298999999997,1966.5420000000001,76.369
14,6,3,0.0644077994424681,4.0,-0.75,0.5,91.0,6.5,7467.321999788282,0.0,4916.371,3474.863000000001,301.62
15,7,0,0.1266893112073258,2.0,0.2,0.4,154.0,6.2,12379.411000013357,1.0,4330.959,5658.429,1545.227
15,7,1,0.1190023022034455,0.0,-0.4,0.6,63.0,6.8,3340.4309999942784,0.0,15829.298999999997,1966.5420000000001,76.369
15,7,2,0.0644077994424681,4.0,-0.75,0.5,91.0,6.5,7467.321999788282,0.0,4916.371,3474.863000000001,301.62
15,7,3,0.0506706211743178,1.0,-0.75,0.25,122.0,6.5,9846.380999803543,0.0,2732.0879999999997,7525.363000000001,447.121
16,7,0,0.1190023022034455,0.0,-0.4,0.6,63.0,6.8,3340.4309999942784,0.0,15829.298999999997,1966.5420000000001,76.369
16,7,1,0.0644077994424681,4.0,-0.75,0.5,91.0,6.5,7467.321999788282,0.0,4916.371,3474.863000000001,301.62
16,7,2,0.0506706211743178,1.0,-0.75,0.25,122.0,6.5,9846.380999803543,0.0,2732.0879999999997,7525.363000000001,447.121
16,7,3,0.0753270582613484,1.0,-0.4,0.6,212.0,6.6,15101.13200187683,0.0,3603.084,9687.067000000001,3466.479
17,7,0,0.0644077994424681,4.0,-0.75,0.5,91.0,6.5,7467.321999788282,0.0,4916.371,3474.863000000001,301.62
17,7,1,0.0506706211743178,1.0,-0.75,0.25,122.0,6.5,9846.380999803543,0.0,2732.0879999999997,7525.363000000001,447.121
17,7,2,0.0753270582613484,1.0,-0.4,0.6,212.0,6.6,15101.13200187683,0.0,3603.084,9687.067000000001,3466.479
17,7,3,0.1203841145323287,4.0,-0.8,0.6,201.0,7.4,13558.289000988008,0.0,5042.326000000001,6523.73,940.77
18,7,0,0.0506706211743178,1.0,-0.75,0.25,122.0,6.5,9846.380999803543,0.0,2732.0879999999997,7525.363000000001,447.121
18,7,1,0.0753270582613484,1.0,-0.4,0.6,212.0,6.6,15101.13200187683,0.0,3603.084,9687.067000000001,3466.479
18,7,2,0.1203841145323287,4.0,-0.8,0.6,201.0,7.4,13558.289000988008,0.0,5042.326000000001,6523.73,940.77
18,7,3,0.078963105194891,7.0,-0.4,0.8,92.0,7.4,9296.098999261858,0.0,2290.954,4989.33,1859.9520000000005
19,7,0,0.0753270582613484,1.0,-0.4,0.6,212.0,6.6,15101.13200187683,0.0,3603.084,9687.067000000001,3466.479
19,7,1,0.1203841145323287,4.0,-0.8,0.6,201.0,7.4,13558.289000988008,0.0,5042.326000000001,6523.73,940.77
19,7,2,0.078963105194891,7.0,-0.4,0.8,92.0,7.4,9296.098999261858,0.0,2290.954,4989.33,1859.9520000000005
19,7,3,0.0799862020730605,0.0,-1.2,0.8,123.0,7.0,10526.846000194551,0.0,4308.812999999999,3388.044000000001,1976.138
20,8,0,0.1203841145323287,4.0,-0.8,0.6,201.0,7.4,13558.289000988008,0.0,5042.326000000001,6523.73,940.77
20,8,1,0.078963105194891,7.0,-0.4,0.8,92.0,7.4,9296.098999261858,0.0,2290.954,4989.33,1859.9520000000005
20,8,2,0.0799862020730605,0.0,-1.2,0.8,123.0,7.0,10526.846000194551,0.0,4308.812999999999,3388.044000000001,1976.138
20,8,3,0.0722490614703181,0.0,-0.75,0.75,47.0,7.25,11750.809000968926,0.0,924.3009999999998,6674.115999999998,2186.482
21,7,0,0.078963105194891,7.0,-0.4,0.8,92.0,7.4,9296.098999261858,0.0,2290.954,4989.33,1859.9520000000005
21,7,1,0.0799862020730605,0.0,-1.2,0.8,123.0,7.0,10526.846000194551,0.0,4308.812999999999,3388.044000000001,1976.138
21,7,2,0.0722490614703181,0.0,-0.75,0.75,47.0,7.25,11750.809000968926,0.0,924.3009999999998,6674.115999999998,2186.482
21,7,3,0.0140213289543707,0.0,-1.25,1.0,35.0,8.0,2005.7509992122657,0.0,564.3299999999999,1191.0039999999997,249.392
22,6,0,0.0799862020730605,0.0,-1.2,0.8,123.0,7.0,10526.846000194551,0.0,4308.812999999999,3388.044000000001,1976.138
22,6,1,0.0722490614703181,0.0,-0.75,0.75,47.0,7.25,11750.809000968926,0.0,924.3009999999998,6674.115999999998,2186.482
22,6,2,0.0140213289543707,0.0,-1.25,1.0,35.0,8.0,2005.7509992122657,0.0,564.3299999999999,1191.0039999999997,249.392
22,6,3,0.0838873144698841,1.0,-1.2,0.6,130.0,7.2,17985.447999238968,1.0,4988.007,6631.380000000002,6265.556
23,7,0,0.0722490614703181,0.0,-0.75,0.75,47.0,7.25,11750.809000968926,0.0,924.3009999999998,6674.115999999998,2186.482
23,7,1,0.0140213289543707,0.0,-1.25,1.0,35.0,8.0,2005.7509992122657,0.0,564.3299999999999,1191.0039999999997,249.392
23,7,2,0.0838873144698841,1.0,-1.2,0.6,130.0,7.2,17985.447999238968,1.0,4988.007,6631.380000000002,6265.556
23,7,3,0.0901121527807252,8.0,0.0,0.8,134.0,6.4,13585.222998380666,1.0,6325.765,6334.645999999999,944.5220000000002
24,7,0,0.0140213289543707,0.0,-1.25,1.0,35.0,8.0,2005.7509992122657,0.0,564.3299999999999,1191.0039999999997,249.392
24,7,1,0.0838873144698841,1.0,-1.2,0.6,130.0,7.2,17985.447999238968,1.0,4988.007,6631.380000000002,6265.556
24,7,2,0.0901121527807252,8.0,0.0,0.8,134.0,6.4,13585.222998380666,1.0,6325.765,6334.645999999999,944.5220000000002
24,7,3,0.1161103361271222,0.0,0.6,0.4,165.0,7.2,12522.47499895096,1.0,3060.052,5215.799999999999,426.734
25,7,0,0.0838873144698841,1.0,-1.2,0.6,130.0,7.2,17985.447999238968,1.0,4988.007,6631.380000000002,6265.556
25,7,1,0.0901121527807252,8.0,0.0,0.8,134.0,6.4,13585.222998380666,1.0,6325.765,6334.645999999999,944.5220000000002
25,7,2,0.1161103361271222,0.0,0.6,0.4,165.0,7.2,12522.47499895096,1.0,3060.052,5215.799999999999,426.734
25,7,3,0.0569178566720968,2.0,-0.4,0.6,100.0,6.6,15018.480000734336,0.0,2709.065,11907.101999999999,142.241
26,8,0,0.0901121527807252,8.0,0.0,0.8,134.0,6.4,13585.222998380666,1.0,6325.765,6334.645999999999,944.5220000000002
26,8,1,0.1161103361271222,0.0,0.6,0.4,165.0,7.2,12522.47499895096,1.0,3060.052,5215.799999999999,426.734
26,8,2,0.0569178566720968,2.0,-0.4,0.6,100.0,6.6,15018.480000734336,0.0,2709.065,11907.101999999999,142.241
26,8,3,0.094033006694976,1.0,-0.8,0.8,86.0,6.8,13490.728999614708,0.0,4126.537,5389.445999999999,774.354
27,7,0,0.1161103361271222,0.0,0.6,0.4,165.0,7.2,12522.47499895096,1.0,3060.052,5215.799999999999,426.734
27,7,1,0.0569178566720968,2.0,-0.4,0.6,100.0,6.6,15018.480000734336,0.0,2709.065,11907.101999999999,142.241
27,7,2,0.094033006694976,1.0,-0.8,0.8,86.0,6.8,13490.728999614708,0.0,4126.537,5389.445999999999,774.354
27,7,3,0.0994319117238402,1.0,-0.2,1.0,82.0,7.8,13293.2480006218,0.0,1873.1769999999995,2759.742,498.358
28,8,0,0.0569178566720968,2.0,-0.4,0.6,100.0,6.6,15018.480000734336,0.0,2709.065,11907.101999999999,142.241
28,8,1,0.094033006694976,1.0,-0.8,0.8,86.0,6.8,13490.728999614708,0.0,4126.537,5389.445999999999,774.354
28,8,2,0.0994319117238402,1.0,-0.2,1.0,82.0,7.8,13293.2480006218,0.0,1873.1769999999995,2759.742,498.358
28,8,3,0.0748162430431159,2.0,-0.25,0.75,89.0,7.25,8343.518000364305,2.0,3266.469,5018.9259999999995,727.492
29,7,0,0.094033006694976,1.0,-0.8,0.8,86.0,6.8,13490.728999614708,0.0,4126.537,5389.445999999999,774.354
29,7,1,0.0994319117238402,1.0,-0.2,1.0,82.0,7.8,13293.2480006218,0.0,1873.1769999999995,2759.742,498.358
29,7,2,0.0748162430431159,2.0,-0.25,0.75,89.0,7.25,8343.518000364305,2.0,3266.469,5018.9259999999995,727.492
29,7,3,0.1020410589682471,2.0,-0.4,1.0,59.0,7.6,3832.9909992218018,0.0,4183.629999999998,2062.3960000000006,74.88000000000001
30,8,0,0.0994319117238402,1.0,-0.2,1.0,82.0,7.8,13293.2480006218,0.0,1873.1769999999995,2759.742,498.358
30,8,1,0.0748162430431159,2.0,-0.25,0.75,89.0,7.25,8343.518000364305,2.0,3266.469,5018.9259999999995,727.492
30,8,2,0.1020410589682471,2.0,-0.4,1.0,59.0,7.6,3832.9909992218018,0.0,4183.629999999998,2062.3960000000006,74.88000000000001
30,8,3,0.091929551822292,2.0,0.2,1.0,183.0,7.4,15490.269999265667,0.0,4097.170000000001,11424.073000000008,1101.017
31,8,0,0.0748162430431159,2.0,-0.25,0.75,89.0,7.25,8343.518000364305,2.0,3266.469,5018.9259999999995,727.492
31,8,1,0.1020410589682471,2.0,-0.4,1.0,59.0,7.6,3832.9909992218018,0.0,4183.629999999998,2062.3960000000006,74.88000000000001
31,8,2,0.091929551822292,2.0,0.2,1.0,183.0,7.4,15490.269999265667,0.0,4097.170000000001,11424.073000000008,1101.017
31,8,3,0.0459856891337655,1.0,0.2,1.0,150.0,7.6,14535.339999437334,0.0,1922.4350000000002,8970.869999999995,347.4270000000001
32,7,0,0.1020410589682471,2.0,-0.4,1.0,59.0,7.6,3832.9909992218018,0.0,4183.629999999998,2062.3960000000006,74.88000000000001
32,7,1,0.091929551822292,2.0,0.2,1.0,183.0,7.4,15490.269999265667,0.0,4097.170000000001,11424.073000000008,1101.017
32,7,2,0.0459856891337655,1.0,0.2,1.0,150.0,7.6,14535.339999437334,0.0,1922.4350000000002,8970.869999999995,347.4270000000001
32,7,3,0.0509029881940342,1.0,-0.4,1.0,107.0,7.6,22086.478000164043,0.0,5132.124999999999,9724.066000000003,4464.974999999999
33,8,0,0.091929551822292,2.0,0.2,1.0,183.0,7.4,15490.269999265667,0.0,4097.170000000001,11424.073000000008,1101.017
33,8,1,0.0459856891337655,1.0,0.2,1.0,150.0,7.6,14535.339999437334,0.0,1922.4350000000002,8970.869999999995,347.4270000000001
33,8,2,0.0509029881940342,1.0,-0.4,1.0,107.0,7.6,22086.478000164043,0.0,5132.124999999999,9724.066000000003,4464.974999999999
33,8,3,0.1090610636368274,2.0,-0.2,0.8,141.0,7.2,13973.941999673843,1.0,3477.6679999999997,7347.991,650.8319999999999
34,8,0,0.0459856891337655,1.0,0.2,1.0,150.0,7.6,14535.339999437334,0.0,1922.4350000000002,8970.869999999995,347.4270000000001
34,8,1,0.0509029881940342,1.0,-0.4,1.0,107.0,7.6,22086.478000164043,0.0,5132.124999999999,9724.066000000003,4464.974999999999
34,8,2,0.1090610636368274,2.0,-0.2,0.8,141.0,7.2,13973.941999673843,1.0,3477.6679999999997,7347.991,650.8319999999999
34,8,3,0.214248771624235,3.0,-0.2,1.0,70.0,7.6,15482.018999338148,4.0,4049.8469999999998,2614.0620000000004,125.556
35,8,0,0.0509029881940342,1.0,-0.4,1.0,107.0,7.6,22086.478000164043,0.0,5132.124999999999,9724.066000000003,4464.974999999999
35,8,1,0.1090610636368274,2.0,-0.2,0.8,141.0,7.2,13973.941999673843,1.0,3477.6679999999997,7347.991,650.8319999999999
35,8,2,0.214248771624235,3.0,-0.2,1.0,70.0,7.6,15482.018999338148,4.0,4049.8469999999998,2614.0620000000004,125.556
35,8,3,0.0304789237989636,0.0,0.0,1.0,53.0,7.5,5700.562000036243,0.0,1379.1219999999996,3488.182,1510.221
36,7,0,0.1090610636368274,2.0,-0.2,0.8,141.0,7.2,13973.941999673843,1.0,3477.6679999999997,7347.991,650.8319999999999
36,7,1,0.214248771624235,3.0,-0.2,1.0,70.0,7.6,15482.018999338148,4.0,4049.8469999999998,2614.0620000000004,125.556
36,7,2,0.0304789237989636,0.0,0.0,1.0,53.0,7.5,5700.562000036243,0.0,1379.1219999999996,3488.182,1510.221
36,7,3,0.0196753225383989,2.0,-0.8,0.8,89.0,7.6,10807.829999685286,0.0,4581.38,4769.956000000001,1548.438
37,8,0,0.214248771624235,3.0,-0.2,1.0,70.0,7.6,15482.018999338148,4.0,4049.8469999999998,2614.0620000000004,125.556
37,8,1,0.0304789237989636,0.0,0.0,1.0,53.0,7.5,5700.562000036243,0.0,1379.1219999999996,3488.182,1510.221
37,8,2,0.0196753225383989,2.0,-0.8,0.8,89.0,7.6,10807.829999685286,0.0,4581.38,4769.956000000001,1548.438
37,8,3,0.1027582485295044,0.0,-0.4,0.6,102.0,7.0,7873.291999101639,0.0,6153.816000000001,3875.1169999999993,1895.8380000000004
38,8,0,0.0304789237989636,0.0,0.0,1.0,53.0,7.5,5700.562000036243,0.0,1379.1219999999996,3488.182,1510.221
38,8,1,0.0196753225383989,2.0,-0.8,0.8,89.0,7.6,10807.829999685286,0.0,4581.38,4769.956000000001,1548.438
38,8,2,0.1027582485295044,0.0,-0.4,0.6,102.0,7.0,7873.291999101639,0.0,6153.816000000001,3875.1169999999993,1895.8380000000004
38,8,3,0.1510514590407472,1.0,-0.4,0.8,115.0,7.8,9175.6049990654,0.0,1694.2440000000001,3736.4009999999994,504.862
39,8,0,0.0196753225383989,2.0,-0.8,0.8,89.0,7.6,10807.829999685286,0.0,4581.38,4769.956000000001,1548.438
39,8,1,0.1027582485295044,0.0,-0.4,0.6,102.0,7.0,7873.291999101639,0.0,6153.816000000001,3875.1169999999993,1895.8380000000004
39,8,2,0.1510514590407472,1.0,-0.4,0.8,115.0,7.8,9175.6049990654,0.0,1694.2440000000001,3736.4009999999994,504.862
39,8,3,0.037065268147657,7.0,-0.4,1.0,191.0,8.0,15516.951998472214,4.0,8413.826000000001,8235.840000000002,470.866
40,8,0,0.1027582485295044,0.0,-0.4,0.6,102.0,7.0,7873.291999101639,0.0,6153.816000000001,3875.1169999999993,1895.8380000000004
40,8,1,0.1510514590407472,1.0,-0.4,0.8,115.0,7.8,9175.6049990654,0.0,1694.2440000000001,3736.4009999999994,504.862
40,8,2,0.037065268147657,7.0,-0.4,1.0,191.0,8.0,15516.951998472214,4.0,8413.826000000001,8235.840000000002,470.866
40,8,3,0.0773410192967756,0.0,-0.2,1.0,125.0,7.6,15088.51900076866,0.0,2647.533,7958.360999999999,352.88800000000003
41,7,0,0.0,4.0,0.0,0.0,125.0,6.333333333333333,4902.626999616626,1.0,2618.637,3559.9350000000004,88.392
41,7,1,0.1680684149503257,4.0,0.5,0.5,133.0,6.75,10159.769001245491,0.0,1332.3749999999995,4621.815000000001,2511.178
41,7,2,0.2194843842554376,15.0,0.6,0.8,164.0,8.2,4512.4710013866425,1.0,2816.8849999999998,4021.8029999999994,88.943
41,7,3,0.3156317568506431,5.0,0.4,0.4,165.0,6.8,8182.757000207906,1.0,2169.538,2702.524999999999,196.139
42,8,0,0.1680684149503257,4.0,0.5,0.5,133.0,6.75,10159.769001245491,0.0,1332.3749999999995,4621.815000000001,2511.178
42,8,1,0.2194843842554376,15.0,0.6,0.8,164.0,8.2,4512.4710013866425,1.0,2816.8849999999998,4021.8029999999994,88.943
42,8,2,0.3156317568506431,5.0,0.4,0.4,165.0,6.8,8182.757000207906,1.0,2169.538,2702.524999999999,196.139
42,8,3,0.2390249602103473,10.0,-0.5,0.75,127.0,7.25,4360.33400130272,1.0,1909.5750000000003,2241.228,148.18
43,6,0,0.2194843842554376,15.0,0.6,0.8,164.0,8.2,4512.4710013866425,1.0,2816.8849999999998,4021.8029999999994,88.943
43,6,1,0.3156317568506431,5.0,0.4,0.4,165.0,6.8,8182.757000207906,1.0,2169.538,2702.524999999999,196.139
43,6,2,0.2390249602103473,10.0,-0.5,0.75,127.0,7.25,4360.33400130272,1.0,1909.5750000000003,2241.228,148.18
43,6,3,0.2896279249001075,10.0,-0.75,0.75,148.0,7.5,11155.850999116892,1.0,3060.6200000000017,2896.3900000000012,459.604
44,6,0,0.3156317568506431,5.0,0.4,0.4,165.0,6.8,8182.757000207906,1.0,2169.538,2702.524999999999,196.139
44,6,1,0.2390249602103473,10.0,-0.5,0.75,127.0,7.25,4360.33400130272,1.0,1909.5750000000003,2241.228,148.18
44,6,2,0.2896279249001075,10.0,-0.75,0.75,148.0,7.5,11155.850999116892,1.0,3060.6200000000017,2896.3900000000012,459.604
44,6,3,0.4460436868329013,25.0,-1.0,-0.5,216.0,6.5,7589.562002897266,1.0,3119.5499999999993,1895.4600000000003,662.9110000000001
45,6,0,0.2390249602103473,10.0,-0.5,0.75,127.0,7.25,4360.33400130272,1.0,1909.5750000000003,2241.228,148.18
45,6,1,0.2896279249001075,10.0,-0.75,0.75,148.0,7.5,11155.850999116892,1.0,3060.6200000000017,2896.3900000000012,459.604
45,6,2,0.4460436868329013,25.0,-1.0,-0.5,216.0,6.5,7589.562002897266,1.0,3119.5499999999993,1895.4600000000003,662.9110000000001
45,6,3,0.2696971570335323,8.0,-1.0,0.0,141.0,6.25,4528.527000665666,1.0,2329.6890000000003,1901.764,388.098
46,8,0,0.2896279249001075,10.0,-0.75,0.75,148.0,7.5,11155.850999116892,1.0,3060.6200000000017,2896.3900000000012,459.604
46,8,1,0.4460436868329013,25.0,-1.0,-0.5,216.0,6.5,7589.562002897266,1.0,3119.5499999999993,1895.4600000000003,662.9110000000001
46,8,2,0.2696971570335323,8.0,-1.0,0.0,141.0,6.25,4528.527000665666,1.0,2329.6890000000003,1901.764,388.098
46,8,3,0.1561246625014999,5.0,0.2,-0.2,123.0,6.4,2766.64899945259,0.0,1306.2970000000003,3093.989,532.013
47,7,0,0.4460436868329013,25.0,-1.0,-0.5,216.0,6.5,7589.562002897266,1.0,3119.5499999999993,1895.4600000000003,662.9110000000001
47,7,1,0.2696971570335323,8.0,-1.0,0.0,141.0,6.25,4528.527000665666,1.0,2329.6890000000003,1901.764,388.098
47,7,2,0.1561246625014999,5.0,0.2,-0.2,123.0,6.4,2766.64899945259,0.0,1306.2970000000003,3093.989,532.013
47,7,3,0.2305136548564537,7.0,-1.25,0.75,167.0,7.75,4637.388000011445,0.0,2955.378,2839.126,459.589
48,7,0,0.2696971570335323,8.0,-1.0,0.0,141.0,6.25,4528.527000665666,1.0,2329.6890000000003,1901.764,388.098
48,7,1,0.1561246625014999,5.0,0.2,-0.2,123.0,6.4,2766.64899945259,0.0,1306.2970000000003,3093.989,532.013
48,7,2,0.2305136548564537,7.0,-1.25,0.75,167.0,7.75,4637.388000011445,0.0,2955.378,2839.126,459.589
48,7,3,0.2939534624058421,5.0,-1.2,0.4,158.0,7.2,6069.630000829695,0.0,3298.7670000000003,2575.799,767.1449999999999
49,7,0,0.1561246625014999,5.0,0.2,-0.2,123.0,6.4,2766.64899945259,0.0,1306.2970000000003,3093.989,532.013
49,7,1,0.2305136548564537,7.0,-1.25,0.75,167.0,7.75,4637.388000011445,0.0,2955.378,2839.126,459.589
49,7,2,0.2939534624058421,5.0,-1.2,0.4,158.0,7.2,6069.630000829695,0.0,3298.7670000000003,2575.799,767.1449999999999
49,7,3,0.228849008922151,3.0,0.0,0.5,174.0,7.25,5746.980998754502,0.0,2415.653,3728.8960000000015,490.78100000000006
50,7,0,0.2305136548564537,7.0,-1.25,0.75,167.0,7.75,4637.388000011445,0.0,2955.378,2839.126,459.589
50,7,1,0.2939534624058421,5.0,-1.2,0.4,158.0,7.2,6069.630000829695,0.0,3298.7670000000003,2575.799,767.1449999999999
50,7,2,0.228849008922151,3.0,0.0,0.5,174.0,7.25,5746.980998754502,0.0,2415.653,3728.8960000000015,490.78100000000006
50,7,3,0.2615983280781395,8.0,-0.6,0.6,150.0,6.8,3969.580999135972,2.0,3770.330000000001,1370.7960000000003,707.6400000000001
51,7,0,0.2939534624058421,5.0,-1.2,0.4,158.0,7.2,6069.630000829695,0.0,3298.7670000000003,2575.799,767.1449999999999
51,7,1,0.228849008922151,3.0,0.0,0.5,174.0,7.25,5746.980998754502,0.0,2415.653,3728.8960000000015,490.78100000000006
51,7,2,0.2615983280781395,8.0,-0.6,0.6,150.0,6.8,3969.580999135972,2.0,3770.330000000001,1370.7960000000003,707.6400000000001
51,7,3,0.4324693550603951,4.0,-0.75,0.25,142.0,7.25,4403.242997646333,0.0,18441.778,2194.33,1063.268
52,7,0,0.228849008922151,3.0,0.0,0.5,174.0,7.25,5746.980998754502,0.0,2415.653,3728.8960000000015,490.78100000000006
52,7,1,0.2615983280781395,8.0,-0.6,0.6,150.0,6.8,3969.580999135972,2.0,3770.330000000001,1370.7960000000003,707.6400000000001
